manufacturer,model,serial_number,manufactured_date,device_type
Olympus,CV190,7500566,1975-01-01,Endoscopy System
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3757686,1975-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3757504,1975-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3757280,1975-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3757194,1975-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3757377,1975-01-01,Infusion Pump
PHILIPS,MX500,DE7770D7J2,1977-01-01,Patient Monitor
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3782633,1978-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3785541,1978-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3785793,1978-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3805055,1980-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3816037,1981-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3817236,1981-01-01,Infusion Pump
Philips,INTELLIVUE MP50,DE82001700,1982-01-01,Patient Monitor
Philips,INTELLIVUE MP50,DE82061694,1982-01-01,Patient Monitor
Philips,INTELLIVUE MP50,DE82061728,1982-01-01,Patient Monitor
Philips,INTELLIVUE MP50,DE82061726,1982-01-01,Patient Monitor
Philips,INTELLIVUE MP50,DE82061785,1982-01-01,Patient Monitor
Philips,INTELLIVUE MP50,DE82061747,1982-01-01,Patient Monitor
Philips,INTELLIVUE MP50,DE82099472,1982-01-01,Patient Monitor
Philips,INTELLIVUE MP50,DE82061749,1982-01-01,Patient Monitor
Philips,INTELLIVUE MP50,DE82061730,1982-01-01,Patient Monitor
Philips,INTELLIVUE MP50,DE82061733,1982-01-01,Patient Monitor
Philips,INTELLIVUE MP50,DE82061720,1982-01-01,Patient Monitor
Philips,INTELLIVUE MP50,82061692,1982-01-01,Patient Monitor
Philips,INTELLIVUE MP50,DE82061717,1982-01-01,Patient Monitor
Philips,INTELLIVUE MP50,DE82061736,1982-01-01,Patient Monitor
Philips,INTELLIVUE MP50,DE82061763,1982-01-01,Patient Monitor
Philips,INTELLIVUE MP50,DE82061695,1982-01-01,Patient Monitor
Philips,INTELLIVUE MP50,DE82099502,1982-01-01,Patient Monitor
Philips,INTELLIVUE MP50,DE82099483,1982-01-01,Patient Monitor
Philips,INTELLIVUE MP50,DE82061791,1982-01-01,Patient Monitor
Philips,INTELLIVUE MP50,DE820A3726,1982-01-01,Patient Monitor
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827871,1982-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3828391,1982-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3828200,1982-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3822726,1982-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3825223,1982-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3825288,1982-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3825471,1982-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3825020,1982-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3823921,1982-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3823577,1982-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3826615,1982-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3826190,1982-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3826314,1982-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3826273,1982-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827365,1982-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827207,1982-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827402,1982-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827856,1982-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827685,1982-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827744,1982-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827658,1982-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827902,1982-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827796,1982-01-01,Infusion Pump
Philips,M3002A,DE83623218,1983-01-01,Patient Monitor Module
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3831807,1983-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3830586,1983-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3831239,1983-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3830354,1983-01-01,Infusion Pump
Philips,INTELLIVUE MP50,DE882061716,1988-01-01,Patient Monitor
GE HEALTHCARE,APEX PRO CH,RT908362478GA,1990-01-01,Telemetry System
GE HEALTHCARE,APEX PRO CH,RT914166339GA,1991-01-01,Telemetry System
GE HEALTHCARE,APEX PRO CH,RT914166315GA,1991-01-01,Telemetry System
GE HEALTHCARE,APEX PRO CH,RT914166362GA,1991-01-01,Telemetry System
GE HEALTHCARE,APEX PRO CH,RT914166321GA,1991-01-01,Telemetry System
GE HEALTHCARE,APEX PRO CH,RT916162191SA,1991-01-01,Telemetry System
GE HEALTHCARE,APEX PRO CH,RT914166380GA,1991-01-01,Telemetry System
GE HEALTHCARE,APEX PRO CH,RT914166373GA,1991-01-01,Telemetry System
GE HEALTHCARE,APEX PRO CH,RT914166320GA,1991-01-01,Telemetry System
GE HEALTHCARE,APEX PRO CH,RT914166336GA,1991-01-01,Telemetry System
GE HEALTHCARE,APEX PRO CH,RT914166372GA,1991-01-01,Telemetry System
GE HEALTHCARE,APEX PRO CH,RT914126176GA,1991-01-01,Telemetry System
GE HEALTHCARE,APEX PRO CH,RT914166337GA,1991-01-01,Telemetry System
GE HEALTHCARE,APEX PRO CH,RT914126178GA,1991-01-01,Telemetry System
GE HEALTHCARE,APEX PRO CH,RT916059906GA,1991-01-01,Telemetry System
HILL ROM,P1440,0139ME8098,2001-01-01,Hospital Bed
Hillrom,CENTURY,02R2981999,2002-01-01,Hospital Bed
Hillrom,CENTURY,02R3141999,2002-01-01,Hospital Bed
Hillrom,PCENTURYK3256,02R3391999,2002-01-01,Hospital Bed
Hillrom,CENTURY,02R3241999,2002-01-01,Hospital Bed
Hillrom,CENTURY,02R3631999,2002-01-01,Hospital Bed
ZOLL Medical,M SERIES,T03D45722,2003-01-01,Defibrillator
ZOLL Medical,M SERIES,T03G48599,2003-01-01,Defibrillator
ZOLL Medical,M SERIES,T04G0718,2004-01-01,Defibrillator
ZOLL Medical,M SERIES,T04F60157,2004-01-01,Defibrillator
ZOLL Medical,M SERIES,T04H61597,2004-01-01,Defibrillator
ZOLL Medical,M SERIES,T04D57875,2004-01-01,Defibrillator
ZOLL Medical,M SERIES,T04A54870,2004-01-01,Defibrillator
Cogentix Medical,CST-5000,CS0709N,2007-01-01,Urology System
Cogentix Medical,CST-5000,CS0715N,2007-01-01,Urology System
Welch Allyn,SURETEMPPLUS,074321PO,2007-01-01,Thermometer
ZOLL Medical,M SERIES,T0787302,2007-01-01,Defibrillator
HILL ROM,CENTURYP1400,L070HE0786,2007-01-01,Hospital Bed
HILL ROM,CENTURYP1400,L070HE0791,2007-01-01,Hospital Bed
ZOLL Medical,M SERIES,T08103497,2008-01-01,Defibrillator
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA308511468GR,2008-01-01,Patient Monitor Module
ZOLL Medical,M SERIES,T09B109955,2009-01-01,Defibrillator
ZOLL Medical,M SERIES,T09B109792,2009-01-01,Defibrillator
ZOLL Medical,M SERIES,T09K116484,2009-01-01,Defibrillator
ZOLL Medical,M SERIES,T098109977,2009-01-01,Defibrillator
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA309517777GR,2009-01-01,Patient Monitor Module
HILL ROM,P1440,P09AME5255,2009-01-01,Hospital Bed
Hillrom,CENTURYP1400,10L9791999,2010-01-01,Hospital Bed
Hillrom,CENTURYP1400,10L7601999,2010-01-01,Hospital Bed
Hillrom,CENTURYP1400,10L2981999,2010-01-01,Hospital Bed
Hillrom,CENTURYP1400,10L2591999,2010-01-01,Hospital Bed
Hillrom,CENTURYP1400,10L7571999,2010-01-01,Hospital Bed
Hillrom,CENTURYP1400,10L7531999,2010-01-01,Hospital Bed
Hillrom,CENTURYP1400,10L7541999,2010-01-01,Hospital Bed
Hillrom,CENTURY,10L9201999,2010-01-01,Hospital Bed
Stryker,1061,109035466,2010-01-01,Stretcher
Welch Allyn,FILAC3000,A1051223,2010-01-01,Thermometer
ZOLL Medical,M SERIES,T10G121505,2010-01-01,Defibrillator
ZOLL Medical,Propaq Md,AI10L000824,2010-01-01,Patient Monitor
ZOLL Medical,Propaq Md,AI10L000796,2010-01-01,Patient Monitor
ZOLL Medical,Propaq Md,AI10L000816,2010-01-01,Patient Monitor
ZOLL Medical,Propaq Md,AI10L000819,2010-01-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA310518384GR,2010-01-01,Patient Monitor Module
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA310518261GR,2010-01-01,Patient Monitor Module
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA310496411GR,2010-01-01,Patient Monitor Module
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA310507316GR,2010-01-01,Patient Monitor Module
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA310496410GR,2010-01-01,Patient Monitor Module
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA310465295GR,2010-01-01,Patient Monitor Module
HILL ROM,CENTURYP1400,103AG0982,2010-01-01,Hospital Bed
HILL ROM,CENTURYP1400,1039AG1009,2010-01-01,Hospital Bed
Edan Instruments,F9EXPRESS,560039-M11330014,2011-01-01,Fetal Monitor
Mindray,BENEVISION N15,F5-11025372,2011-01-01,Patient Monitor
Welch Allyn,FILAC3000,A1155231X,2011-01-01,Thermometer
Welch Allyn,FILAC3000,A1156405,2011-01-01,Thermometer
Welch Allyn,FILAC3000,A1156388,2011-01-01,Thermometer
ZOLL Medical,M SERIES,T11D124677,2011-01-01,Defibrillator
ZOLL Medical,M SERIES,t1k132871,2011-01-01,Defibrillator
ZOLL Medical,R Series Plus,AF11L019703,2011-01-01,Defibrillator
ZOLL Medical,Propaq Md,AI11F001156,2011-01-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA311069819GR,2011-01-01,Patient Monitor Module
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA311184365GR,2011-01-01,Patient Monitor Module
Covidien,RAPIDVAC,VL012301X,2012-01-01,Surgical Suction System
Covidien,RAPIDVAC,VL012165X,2012-01-01,Surgical Suction System
Covidien,RAPIDVAC,VL012164X,2012-01-01,Surgical Suction System
Edan Instruments,SE1200EXPRESS,460016-M12900650018,2012-01-01,ECG Machine
Hillrom,CENTURY,12M1281998,2012-01-01,Hospital Bed
Hillrom,CENTURY,12M0591998,2012-01-01,Hospital Bed
Hillrom,PCENTURYK3256,12M0551998,2012-01-01,Hospital Bed
Hillrom,CENTURY,12M0561998,2012-01-01,Hospital Bed
Hillrom,CENTURY,12M1101998,2012-01-01,Hospital Bed
Hillrom,P3200,J127AD6526,2012-01-01,Hospital Bed
Welch Allyn,FILAC3000,A1257682,2012-01-01,Thermometer
Welch Allyn,FILAC3000,A1262471,2012-01-01,Thermometer
ZOLL Medical,M SERIES,T12L131022,2012-01-01,Defibrillator
ZOLL Medical,M SERIES,T12B127729,2012-01-01,Defibrillator
ZOLL Medical,M SERIES,T12B127735,2012-01-01,Defibrillator
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA312152525GA,2012-01-01,Patient Monitor Module
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA312132106GR,2012-01-01,Patient Monitor Module
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA312152311GR,2012-01-01,Patient Monitor Module
HILL ROM,P1440,Q125ME8074,2012-01-01,Hospital Bed
HILL ROM,P1440,Q126ME8091,2012-01-01,Hospital Bed
HILL ROM,P1440,Q126ME8089,2012-01-01,Hospital Bed
HILL ROM,P1440,Q126ME8092,2012-01-01,Hospital Bed
HILL ROM,P1440,Q120ME8059,2012-01-01,Hospital Bed
HILL ROM,P1440,Q126ME8088,2012-01-01,Hospital Bed
HILL ROM,P1440,Q120ME8057,2012-01-01,Hospital Bed
HILL ROM,P1440,Q120ME8058,2012-01-01,Hospital Bed
HILL ROM,P1440,Q125ME8078,2012-01-01,Hospital Bed
HILL ROM,P1440,Q125ME8022,2012-01-01,Hospital Bed
HILL ROM,P1440,Q125ME8076,2012-01-01,Hospital Bed
HILL ROM,P3200,J121AD6108,2012-01-01,Hospital Bed
HILL ROM,P3200,J121AD6107,2012-01-01,Hospital Bed
HILL ROM,P3200,J129AD6633,2012-01-01,Hospital Bed
HILL ROM,P3200,J128AD6593,2012-01-01,Hospital Bed
HILL ROM,P3200,J128AD6595,2012-01-01,Hospital Bed
HILL ROM,P3200,J128AD6617,2012-01-01,Hospital Bed
HILL ROM,P3200,J121AD6110,2012-01-01,Hospital Bed
Hillrom,P3200,J134AT6928,2013-01-01,Hospital Bed
Mindray,EPM12MA,AH9-3A001717,2013-01-01,Vital Signs Monitor
Mindray,EPM12MA,AH9-3A001716,2013-01-01,Vital Signs Monitor
Mindray,EPM12MA,AH9-3A001721,2013-01-01,Vital Signs Monitor
Mindray,EPM12MA,AH9-3A001718,2013-01-01,Vital Signs Monitor
ZOLL Medical,M SERIES,3T13D131852,2013-01-01,Defibrillator
ZOLL Medical,M SERIES,T13D131863,2013-01-01,Defibrillator
ZOLL Medical,M SERIES,T13D131879,2013-01-01,Defibrillator
ZOLL Medical,X Series,AR13L006530,2013-01-01,Defibrillator
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313230274GR,2013-01-01,Patient Monitor Module
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA3132300157GR,2013-01-01,Patient Monitor Module
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313230430GR,2013-01-01,Patient Monitor Module
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313230464GR,2013-01-01,Patient Monitor Module
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313230676GR,2013-01-01,Patient Monitor Module
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313219052GR,2013-01-01,Patient Monitor Module
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313230457GR,2013-01-01,Patient Monitor Module
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313230453GR,2013-01-01,Patient Monitor Module
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313106097GR,2013-01-01,Patient Monitor Module
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313127233GR,2013-01-01,Patient Monitor Module
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313230456GR,2013-01-01,Patient Monitor Module
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313230407GR,2013-01-01,Patient Monitor Module
HILL ROM,P1440,Q139ME8104,2013-01-01,Hospital Bed
HILL ROM,P1440,Q139ME8102,2013-01-01,Hospital Bed
HILL ROM,P1440,Q139ME8099,2013-01-01,Hospital Bed
HILL ROM,P1440,Q139ME8103,2013-01-01,Hospital Bed
HILL ROM,P1440,Q139ME8100,2013-01-01,Hospital Bed
HILL ROM,P1440,Q139ME8105,2013-01-01,Hospital Bed
Mindray,EPM12MA,AH9-3C001824,2013-03-01,Vital Signs Monitor
Mindray,EPM12MA,AH9-3C001806,2013-03-01,Vital Signs Monitor
Mindray,EPM12MA,AH9-3C001812,2013-03-01,Vital Signs Monitor
Mindray,EPM12MA,AH9-3C001805,2013-03-01,Vital Signs Monitor
Mindray,EPM12MA,AH9-3C001789,2013-03-01,Vital Signs Monitor
Mindray,EPM12MA,AH9-3C001781,2013-03-01,Vital Signs Monitor
Mindray,EPM12MA,AH9-3C001814,2013-03-01,Vital Signs Monitor
Mindray,EPM12MA,AH9-3C001780,2013-03-01,Vital Signs Monitor
BIOSONIC,UC95,130402317,2013-04-02,Bladder Scanner
BIOSONIC,UC95D15,131100008,2013-11-01,Bladder Scanner
BIOSONIC,UC95D15,131100002,2013-11-01,Bladder Scanner
Edan Instruments,SE1200EXPRESS,M14B08690005,2014-01-01,ECG Machine
Edan Instruments,IM50,M14104900003,2014-01-01,Patient Monitor
Edan Instruments,IM50,3331333-M14900008,2014-01-01,Patient Monitor
Edan Instruments,IM50,3331333-M14104900002,2014-01-01,Patient Monitor
Edan Instruments,IM50,3331333-M14104900009,2014-01-01,Patient Monitor
Hillrom,P3200,M140AD0664,2014-01-01,Hospital Bed
Hillrom,P3200,J140AD7241,2014-01-01,Hospital Bed
Hillrom,P3200,J140AD7236,2014-01-01,Hospital Bed
Hillrom,P3200,J140AD7193,2014-01-01,Hospital Bed
Welch Allyn,FILAC3000,A1451284X,2014-01-01,Thermometer
ZOLL Medical,M SERIES,T14F133985,2014-01-01,Defibrillator
ZOLL Medical,M SERIES,T14E133852,2014-01-01,Defibrillator
GE HEALTHCARE,APEX PRO CH,RTS14024388GA,2014-01-01,Telemetry System
GE HEALTHCARE,APEX PRO CH,RTS14104454GA,2014-01-01,Telemetry System
GE HEALTHCARE,APEX PRO CH,RTS14104453GA,2014-01-01,Telemetry System
GE HEALTHCARE,APEX PRO CH,RTS14104456GA,2014-01-01,Telemetry System
GE HEALTHCARE,APEX PRO CH,RTS14104450GA,2014-01-01,Telemetry System
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA314358024GA,2014-01-01,Patient Monitor Module
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA314326586GA,2014-01-01,Patient Monitor Module
HILL ROM,P1440,Q141ME8112,2014-01-01,Hospital Bed
HILL ROM,P1440,Q141ME8115,2014-01-01,Hospital Bed
HILL ROM,P1440,Q145ME8148,2014-01-01,Hospital Bed
HILL ROM,P3200,J140AD7282,2014-01-01,Hospital Bed
HILL ROM,P3200,J141AD7277,2014-01-01,Hospital Bed
HILL ROM,P3200,J148AD7733,2014-01-01,Hospital Bed
Unico,G380PL LED,G38L-20141208,2014-12-08,Laboratory Centrifuge
Exergen,TAT5000,A1539272,2015-01-01,Thermometer
Exergen,TAT5000,A1539493,2015-01-01,Thermometer
Exergen,TAT5000,A1539059,2015-01-01,Thermometer
Exergen,TAT5000,A1539490,2015-01-01,Thermometer
Exergen,TAT5000,A1539270,2015-01-01,Thermometer
Exergen,TAT5000,A1539277,2015-01-01,Thermometer
Hillrom,P3200,M154AD1453,2015-01-01,Hospital Bed
ZOLL Medical,M SERIES,T15F135497,2015-01-01,Defibrillator
ZOLL Medical,M SERIES,T15B135017,2015-01-01,Defibrillator
ZOLL Medical,Propaq Md,ai15c003871,2015-01-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315208552GA,2015-01-01,Patient Monitor Module
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315219009,2015-01-01,Patient Monitor Module
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315219102GA,2015-01-01,Patient Monitor Module
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315219007GA,2015-01-01,Patient Monitor Module
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315070015GA,2015-01-01,Patient Monitor Module
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315281904GA,2015-01-01,Patient Monitor Module
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315079992GA,2015-01-01,Patient Monitor Module
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315281909GA,2015-01-01,Patient Monitor Module
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315070003GA,2015-01-01,Patient Monitor Module
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315079984GA,2015-01-01,Patient Monitor Module
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315070002GA,2015-01-01,Patient Monitor Module
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315079980GA,2015-01-01,Patient Monitor Module
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315079977GA,2015-01-01,Patient Monitor Module
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315079989GA,2015-01-01,Patient Monitor Module
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315058576GA,2015-01-01,Patient Monitor Module
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315079799GA,2015-01-01,Patient Monitor Module
Edan Instruments,SE1200EXPRESS,311094-M16611040004,2016-01-01,ECG Machine
Edan Instruments,IM50,M16701760030,2016-01-01,Patient Monitor
Edan Instruments,IM50,M16701760034,2016-01-01,Patient Monitor
Edan Instruments,IM50,M16701760010,2016-01-01,Patient Monitor
Edan Instruments,IM70,260066-M16901980001,2016-01-01,Patient Monitor
Edan Instruments,IM70,M16603730016,2016-01-01,Patient Monitor
Edan Instruments,IM70,M16600900014,2016-01-01,Patient Monitor
Welch Allyn,FILAC3000,A1656130X,2016-01-01,Thermometer
Welch Allyn,FILAC3000,A1661117X,2016-01-01,Thermometer
Welch Allyn,FILAC3000,A1661082X,2016-01-01,Thermometer
Welch Allyn,FILAC3000,A1661093X,2016-01-01,Thermometer
Welch Allyn,FILAC3000,A1661114X,2016-01-01,Thermometer
Welch Allyn,FILAC3000,A1656006X,2016-01-01,Thermometer
Welch Allyn,FILAC3000,A1656212X,2016-01-01,Thermometer
ZOLL Medical,M SERIES,D16B136583,2016-01-01,Defibrillator
ZOLL Medical,M SERIES,T16E136987,2016-01-01,Defibrillator
ZOLL Medical,M SERIES,T16B136570,2016-01-01,Defibrillator
ZOLL Medical,R Series ALS,AF16L061223,2016-01-01,Defibrillator
ZOLL Medical,R Series ALS,AF16C054998,2016-01-01,Defibrillator
ZOLL Medical,R Series ALS,AF16D055364,2016-01-01,Defibrillator
ZOLL Medical,R Series ALS,AF16D055704,2016-01-01,Defibrillator
ZOLL Medical,R Series ALS,AF16H058404,2016-01-01,Defibrillator
ZOLL Medical,R Series ALS,AF16H057957,2016-01-01,Defibrillator
ZOLL Medical,R Series ALS,AF16H058410,2016-01-01,Defibrillator
ZOLL Medical,R Series ALS,AF16H058183,2016-01-01,Defibrillator
HILL ROM,P1440,P164ME5640,2016-01-01,Hospital Bed
Cogentix Medical,CST-4000,CS1704F,2017-01-01,Urology System
Cogentix Medical,CST-4000,CS1705F,2017-01-01,Urology System
Edan Instruments,ELITEV5,M17902120005,2017-01-01,Vital Signs Monitor
Edan Instruments,ELITEV5,M17902120008,2017-01-01,Vital Signs Monitor
Edan Instruments,ELITEV5,M17902120007,2017-01-01,Vital Signs Monitor
Edan Instruments,IM50,M17602270005,2017-01-01,Patient Monitor
Edan Instruments,IM50,M17602270003,2017-01-01,Patient Monitor
Edan Instruments,IM50,M17101610022,2017-01-01,Patient Monitor
Edan Instruments,IM50,M17101610039,2017-01-01,Patient Monitor
Edan Instruments,IM50,M17101610030,2017-01-01,Patient Monitor
Edan Instruments,IM50,M17A03210041,2017-01-01,Patient Monitor
Hospira,PLUMA+,17432148,2017-01-01,Anesthesia Machine
Hospira,PLUMA+,17434560,2017-01-01,Anesthesia Machine
Hospira,PLUMA+,17441256,2017-01-01,Anesthesia Machine
Hospira,PLUMA+,17434159,2017-01-01,Anesthesia Machine
Hospira,PLUMA+,17433989,2017-01-01,Anesthesia Machine
Hospira,PLUMA+,17434093,2017-01-01,Anesthesia Machine
Hospira,PLUMA+,17434354,2017-01-01,Anesthesia Machine
Hospira,PLUMA+,17441237,2017-01-01,Anesthesia Machine
Hospira,PLUMA+,17434074,2017-01-01,Anesthesia Machine
Hospira,PLUMA+,17434027,2017-01-01,Anesthesia Machine
Hospira,PLUMA+,17441209,2017-01-01,Anesthesia Machine
Hospira,PLUMA+,17434472,2017-01-01,Anesthesia Machine
Hospira,PLUMA+,17434162,2017-01-01,Anesthesia Machine
Hospira,PLUMA+,17434475,2017-01-01,Anesthesia Machine
Hospira,PLUMA+,17434779,2017-01-01,Anesthesia Machine
Hospira,PLUMA+,17434141,2017-01-01,Anesthesia Machine
Hospira,PLUMA+,17434321,2017-01-01,Anesthesia Machine
Hospira,PLUMA+,17434383,2017-01-01,Anesthesia Machine
Hospira,PLUMA+,1744041,2017-01-01,Anesthesia Machine
Hospira,PLUMA+,17434024,2017-01-01,Anesthesia Machine
Hospira,PLUMA+,17434118,2017-01-01,Anesthesia Machine
Hospira,PLUMA+,17440578,2017-01-01,Anesthesia Machine
Hospira,PLUMA+,17440768,2017-01-01,Anesthesia Machine
Hospira,PLUMA+,17434139,2017-01-01,Anesthesia Machine
Hospira,PLUMA+,17433973,2017-01-01,Anesthesia Machine
